Pixel Position,Calibrated Wavelength (nm)
573,534.6242324593204
574,534.9903087235352
575,535.3563705191316
576,535.7224178461097
577,536.0884507044696
578,536.4544690942109
579,536.8204730153341
580,537.1864624678389
581,537.5524374517254
582,537.9183979669936
583,538.2843440136432
584,538.6502755916748
585,539.016192701088
586,539.3820953418829
587,539.7479835140593
588,540.1138572176175
589,540.4797164525573
590,540.8455612188789
591,541.2113915165821
592,541.5772073456669
593,541.9430087061336
594,542.3087955979818
595,542.6745680212117
596,543.0403259758233
597,543.4060694618165
598,543.7717984791914
599,544.137513027948
600,544.5032131080864
601,544.8688987196062
602,545.2345698625079
603,545.6002265367912
604,545.9658687424561
605,546.3314964795028
606,546.6971097479311
607,547.0627085477411
608,547.4282928789328
609,547.793862741506
610,548.159418135461
611,548.5249590607978
612,548.8904855175161
613,549.2559975056162
614,549.6214950250978
615,549.9869780759612
616,550.3524466582063
617,550.717900771833
618,551.0833404168413
619,551.4487655932314
620,551.8141763010033
621,552.1795725401566
622,552.5449543106918
623,552.9103216126085
624,553.275674445907
625,553.6410128105871
626,554.0063367066489
627,554.3716461340923
628,554.7369410929175
629,555.1022215831243
630,555.4674876047128
631,555.8327391576829
632,556.1979762420348
633,556.5631988577683
634,556.9284070048835
635,557.2936006833803
636,557.658779893259
637,558.023944634519
638,558.3890949071609
639,558.7542307111845
640,559.1193520465897
641,559.4844589133767
642,559.8495513115453
643,560.2146292410955
644,560.5796927020274
645,560.944741694341
646,561.3097762180363
647,561.6747962731132
648,562.0398018595718
649,562.4047929774122
650,562.7697696266341
651,563.1347318072377
652,563.499679519223
653,563.86461276259
654,564.2295315373386
655,564.594435843469
656,564.959325680981
657,565.3242010498747
658,565.6890619501501
659,566.0539083818071
660,566.4187403448458
661,566.7835578392662
662,567.1483608650682
663,567.5131494222519
664,567.8779235108174
665,568.2426831307644
666,568.6074282820932
667,568.9721589648036
668,569.3368751788956
669,569.7015769243694
670,570.0662642012248
671,570.430937009462
672,570.7955953490808
673,571.1602392200813
674,571.5248686224634
675,571.8894835562272
676,572.2540840213727
677,572.6186700178998
678,572.9832415458086
679,573.3477986050992
680,573.7123411957714
681,574.0768693178252
682,574.4413829712607
683,574.805882156078
684,575.1703668722769
685,575.5348371198575
686,575.8992928988196
687,576.2637342091634
688,576.628161050889
689,576.9925734239963
690,577.3569713284852
691,577.7213547643559
692,578.0857237316081
693,578.4500782302421
694,578.8144182602576
695,579.178743821655
696,579.5430549144339
697,579.9073515385945
698,580.2716336941369
